,GEO_ID,NAME,TOTAL POPULATION,TOTAL HOUSING UNITS,STANDARDIZED POPULATION
75,1400000US01013953300,"Census Tract 9533, Butler County, Alabama",1807,896,
76,1400000US01013953400,"Census Tract 9534, Butler County, Alabama",2905,1478,
77,1400000US01013953500,"Census Tract 9535, Butler County, Alabama",1448,702,
78,1400000US01015000200,"Census Tract 2, Calhoun County, Alabama",2554,1606,
79,1400000US01015000300,"Census Tract 3, Calhoun County, Alabama",2498,1602,
80,1400000US01015000400,"Census Tract 4, Calhoun County, Alabama",2740,1370,
81,1400000US01015000500,"Census Tract 5, Calhoun County, Alabama",1112,963,
82,1400000US01015000600,"Census Tract 6, Calhoun County, Alabama",1996,914,
83,1400000US01015000700,"Census Tract 7, Calhoun County, Alabama",2773,1491,
84,1400000US01015000800,"Census Tract 8, Calhoun County, Alabama",1026,669,
85,1400000US01015000900,"Census Tract 9, Calhoun County, Alabama",3595,1811,
86,1400000US01015001000,"Census Tract 10, Calhoun County, Alabama",6194,2817,
87,1400000US01015001100,"Census Tract 11, Calhoun County, Alabama",6985,3018,
88,1400000US01015001201,"Census Tract 12.01, Calhoun County, Alabama",2978,1530,
89,1400000US01015001202,"Census Tract 12.02, Calhoun County, Alabama",4088,1681,
90,1400000US01015001300,"Census Tract 13, Calhoun County, Alabama",2042,986,
91,1400000US01015001400,"Census Tract 14, Calhoun County, Alabama",3143,1615,
92,1400000US01015001500,"Census Tract 15, Calhoun County, Alabama",5220,2198,
93,1400000US01015001600,"Census Tract 16, Calhoun County, Alabama",3646,1613,
94,1400000US01015001700,"Census Tract 17, Calhoun County, Alabama",6774,2882,
95,1400000US01015001800,"Census Tract 18, Calhoun County, Alabama",6902,2919,
96,1400000US01015002000,"Census Tract 20, Calhoun County, Alabama",7130,3263,
97,1400000US01015002101,"Census Tract 21.01, Calhoun County, Alabama",3487,1338,
98,1400000US01015002102,"Census Tract 21.02, Calhoun County, Alabama",3254,1467,
99,1400000US01015002103,"Census Tract 21.03, Calhoun County, Alabama",6919,2944,
100,1400000US01015002200,"Census Tract 22, Calhoun County, Alabama",3481,1772,
101,1400000US01015002300,"Census Tract 23, Calhoun County, Alabama",3622,1852,
102,1400000US01015002400,"Census Tract 24, Calhoun County, Alabama",4758,2068,
103,1400000US01015002501,"Census Tract 25.01, Calhoun County, Alabama",7333,3027,
104,1400000US01015002502,"Census Tract 25.02, Calhoun County, Alabama",4493,2043,
105,1400000US01015002600,"Census Tract 26, Calhoun County, Alabama",4355,2223,
106,1400000US01015981901,"Census Tract 9819.01, Calhoun County, Alabama",0,0,
107,1400000US01015981902,"Census Tract 9819.02, Calhoun County, Alabama",0,0,
108,1400000US01015981903,"Census Tract 9819.03, Calhoun County, Alabama",0,0,
109,1400000US01017953800,"Census Tract 9538, Chambers County, Alabama",3626,1822,
110,1400000US01017953900,"Census Tract 9539, Chambers County, Alabama",2977,1533,
111,1400000US01017954000,"Census Tract 9540, Chambers County, Alabama",6157,3093,
112,1400000US01017954200,"Census Tract 9542, Chambers County, Alabama",3190,1496,
113,1400000US01017954300,"Census Tract 9543, Chambers County, Alabama",5196,2877,
114,1400000US01017954400,"Census Tract 9544, Chambers County, Alabama",822,604,
115,1400000US01017954500,"Census Tract 9545, Chambers County, Alabama",4046,1978,
116,1400000US01017954600,"Census Tract 9546, Chambers County, Alabama",3128,1563,
117,1400000US01017954700,"Census Tract 9547, Chambers County, Alabama",4684,2015,
118,1400000US01019955701,"Census Tract 9557.01, Cherokee County, Alabama",3517,2590,
119,1400000US01019955702,"Census Tract 9557.02, Cherokee County, Alabama",3688,2330,
120,1400000US01019955800,"Census Tract 9558, Cherokee County, Alabama",5427,3485,
121,1400000US01019955900,"Census Tract 9559, Cherokee County, Alabama",4011,2008,
122,1400000US01019956000,"Census Tract 9560, Cherokee County, Alabama",4209,2642,
123,1400000US01019956100,"Census Tract 9561, Cherokee County, Alabama",5001,3476,
124,1400000US01021060101,"Census Tract 601.01, Chilton County, Alabama",4336,2199,
125,1400000US01021060102,"Census Tract 601.02, Chilton County, Alabama",7134,2894,
126,1400000US01021060200,"Census Tract 602, Chilton County, Alabama",2517,1357,
127,1400000US01021060300,"Census Tract 603, Chilton County, Alabama",3601,1926,
128,1400000US01021060401,"Census Tract 604.01, Chilton County, Alabama",5320,2281,
129,1400000US01021060402,"Census Tract 604.02, Chilton County, Alabama",9476,3635,
130,1400000US01021060500,"Census Tract 605, Chilton County, Alabama",3274,1380,
131,1400000US01021060600,"Census Tract 606, Chilton County, Alabama",3521,1464,
132,1400000US01021060700,"Census Tract 607, Chilton County, Alabama",4751,2450,
133,1400000US01023956700,"Census Tract 9567, Choctaw County, Alabama",3345,2037,
134,1400000US01023956800,"Census Tract 9568, Choctaw County, Alabama",4039,2283,
135,1400000US01023956900,"Census Tract 9569, Choctaw County, Alabama",3442,1791,
136,1400000US01023957000,"Census Tract 9570, Choctaw County, Alabama",2249,1233,
137,1400000US01025957500,"Census Tract 9575, Clarke County, Alabama",1336,870,
138,1400000US01025957601,"Census Tract 9576.01, Clarke County, Alabama",1144,572,
139,1400000US01025957602,"Census Tract 9576.02, Clarke County, Alabama",5295,2549,
140,1400000US01025957700,"Census Tract 9577, Clarke County, Alabama",1337,1022,
141,1400000US01025957800,"Census Tract 9578, Clarke County, Alabama",4533,2650,
142,1400000US01025957901,"Census Tract 9579.01, Clarke County, Alabama",3537,1632,
143,1400000US01025957902,"Census Tract 9579.02, Clarke County, Alabama",3964,1956,
144,1400000US01025958001,"Census Tract 9580.01, Clarke County, Alabama",1590,646,
145,1400000US01025958002,"Census Tract 9580.02, Clarke County, Alabama",1651,844,
146,1400000US01027958900,"Census Tract 9589, Clay County, Alabama",5295,2700,
147,1400000US01027959000,"Census Tract 9590, Clay County, Alabama",2975,1569,
148,1400000US01027959100,"Census Tract 9591, Clay County, Alabama",2764,1330,
149,1400000US01027959200,"Census Tract 9592, Clay County, Alabama",2344,1203,
150,1400000US01029959500,"Census Tract 9595, Cleburne County, Alabama",3008,1194,
151,1400000US01029959600,"Census Tract 9596, Cleburne County, Alabama",3834,1929,
152,1400000US01029959700,"Census Tract 9597, Cleburne County, Alabama",3709,1593,
153,1400000US01029959800,"Census Tract 9598, Cleburne County, Alabama",4387,2090,
154,1400000US01031010100,"Census Tract 101, Coffee County, Alabama",2170,998,
155,1400000US01031010200,"Census Tract 102, Coffee County, Alabama",1814,843,
156,1400000US01031010300,"Census Tract 103, Coffee County, Alabama",4888,2079,
157,1400000US01031010400,"Census Tract 104, Coffee County, Alabama",1782,952,
158,1400000US01031010500,"Census Tract 105, Coffee County, Alabama",4600,1976,
159,1400000US01031010600,"Census Tract 106, Coffee County, Alabama",1561,725,
160,1400000US01031010700,"Census Tract 107, Coffee County, Alabama",2206,1057,
161,1400000US01031010800,"Census Tract 108, Coffee County, Alabama",2842,1306,
162,1400000US01031010900,"Census Tract 109, Coffee County, Alabama",2392,974,
163,1400000US01031011000,"Census Tract 110, Coffee County, Alabama",3196,1611,
164,1400000US01031011100,"Census Tract 111, Coffee County, Alabama",2182,967,
165,1400000US01031011201,"Census Tract 112.01, Coffee County, Alabama",9353,3600,
166,1400000US01031011202,"Census Tract 112.02, Coffee County, Alabama",8417,4117,
167,1400000US01031011300,"Census Tract 113, Coffee County, Alabama",3885,1883,
168,1400000US01033020100,"Census Tract 201, Colbert County, Alabama",3396,1872,
169,1400000US01033020200,"Census Tract 202, Colbert County, Alabama",1927,1225,
170,1400000US01033020300,"Census Tract 203, Colbert County, Alabama",1891,1188,
171,1400000US01033020400,"Census Tract 204, Colbert County, Alabama",1737,739,
172,1400000US01033020500,"Census Tract 205, Colbert County, Alabama",5777,2177,
173,1400000US01033020600,"Census Tract 206, Colbert County, Alabama",4023,2074,
174,1400000US01033020701,"Census Tract 207.01, Colbert County, Alabama",6224,2761,
175,1400000US01033020703,"Census Tract 207.03, Colbert County, Alabama",4992,2234,
176,1400000US01033020704,"Census Tract 207.04, Colbert County, Alabama",4966,2103,
177,1400000US01033020801,"Census Tract 208.01, Colbert County, Alabama",4330,2226,
178,1400000US01033020802,"Census Tract 208.02, Colbert County, Alabama",3950,1811,
179,1400000US01033020901,"Census Tract 209.01, Colbert County, Alabama",4254,1952,
180,1400000US01033020902,"Census Tract 209.02, Colbert County, Alabama",3469,1867,
181,1400000US01033021000,"Census Tract 210, Colbert County, Alabama",3559,2237,
182,1400000US01035960200,"Census Tract 9602, Conecuh County, Alabama",2018,1032,
183,1400000US01035960300,"Census Tract 9603, Conecuh County, Alabama",1532,925,
184,1400000US01035960400,"Census Tract 9604, Conecuh County, Alabama",3544,1860,
185,1400000US01035960500,"Census Tract 9605, Conecuh County, Alabama",1568,1014,
186,1400000US01035960600,"Census Tract 9606, Conecuh County, Alabama",3852,2312,
187,1400000US01037961000,"Census Tract 9610, Coosa County, Alabama",3705,1955,
188,1400000US01037961100,"Census Tract 9611, Coosa County, Alabama",3699,2012,
189,1400000US01037961200,"Census Tract 9612, Coosa County, Alabama",3451,2591,
190,1400000US01039961600,"Census Tract 9616, Covington County, Alabama",4318,2432,
191,1400000US01039961700,"Census Tract 9617, Covington County, Alabama",4060,2097,
192,1400000US01039961800,"Census Tract 9618, Covington County, Alabama",3007,1456,
193,1400000US01039961900,"Census Tract 9619, Covington County, Alabama",2085,1078,
194,1400000US01039962000,"Census Tract 9620, Covington County, Alabama",3984,1972,
195,1400000US01039962100,"Census Tract 9621, Covington County, Alabama",2055,947,
196,1400000US01039962300,"Census Tract 9623, Covington County, Alabama",3314,1516,
197,1400000US01039962400,"Census Tract 9624, Covington County, Alabama",3078,1539,
198,1400000US01039962500,"Census Tract 9625, Covington County, Alabama",1381,778,
199,1400000US01039962600,"Census Tract 9626, Covington County, Alabama",1534,788,
200,1400000US01039962700,"Census Tract 9627, Covington County, Alabama",1761,799,
201,1400000US01039962800,"Census Tract 9628, Covington County, Alabama",1875,874,
202,1400000US01039962900,"Census Tract 9629, Covington County, Alabama",1863,973,
203,1400000US01039963000,"Census Tract 9630, Covington County, Alabama",3036,1658,
204,1400000US01041963400,"Census Tract 9634, Crenshaw County, Alabama",1939,935,
205,1400000US01041963500,"Census Tract 9635, Crenshaw County, Alabama",2041,904,
206,1400000US01041963600,"Census Tract 9636, Crenshaw County, Alabama",2974,1552,
207,1400000US01041963700,"Census Tract 9637, Crenshaw County, Alabama",3900,1736,
208,1400000US01041963800,"Census Tract 9638, Crenshaw County, Alabama",1588,923,
209,1400000US01041963900,"Census Tract 9639, Crenshaw County, Alabama",1423,740,
210,1400000US01043964100,"Census Tract 9641, Cullman County, Alabama",6187,2600,
211,1400000US01043964200,"Census Tract 9642, Cullman County, Alabama",6971,3127,
212,1400000US01043964300,"Census Tract 9643, Cullman County, Alabama",5058,2210,
213,1400000US01043964400,"Census Tract 9644, Cullman County, Alabama",4473,1806,
214,1400000US01043964500,"Census Tract 9645, Cullman County, Alabama",4455,2060,
215,1400000US01043964600,"Census Tract 9646, Cullman County, Alabama",3747,1704,
216,1400000US01043964700,"Census Tract 9647, Cullman County, Alabama",5597,2012,
217,1400000US01043964800,"Census Tract 9648, Cullman County, Alabama",4269,1973,
218,1400000US01043964900,"Census Tract 9649, Cullman County, Alabama",6519,2837,
219,1400000US01043965000,"Census Tract 9650, Cullman County, Alabama",6361,2896,
220,1400000US01043965100,"Census Tract 9651, Cullman County, Alabama",3741,1468,
221,1400000US01043965200,"Census Tract 9652, Cullman County, Alabama",2696,1044,
222,1400000US01043965300,"Census Tract 9653, Cullman County, Alabama",4664,2045,
223,1400000US01043965401,"Census Tract 9654.01, Cullman County, Alabama",3251,1532,
224,1400000US01043965402,"Census Tract 9654.02, Cullman County, Alabama",4237,1917,
225,1400000US01043965500,"Census Tract 9655, Cullman County, Alabama",5042,2922,
226,1400000US01043965600,"Census Tract 9656, Cullman County, Alabama",2172,2190,
227,1400000US01043965700,"Census Tract 9657, Cullman County, Alabama",2873,1309,
228,1400000US01045020000,"Census Tract 200, Dale County, Alabama",5134,1452,
229,1400000US01045020100,"Census Tract 201, Dale County, Alabama",3542,1914,
230,1400000US01045020200,"Census Tract 202, Dale County, Alabama",2048,1158,
231,1400000US01045020300,"Census Tract 203, Dale County, Alabama",2292,975,
232,1400000US01045020400,"Census Tract 204, Dale County, Alabama",2388,963,
233,1400000US01045020500,"Census Tract 205, Dale County, Alabama",1859,1038,
234,1400000US01045020700,"Census Tract 207, Dale County, Alabama",3140,1721,
235,1400000US01045020801,"Census Tract 208.01, Dale County, Alabama",3310,1571,
236,1400000US01045020802,"Census Tract 208.02, Dale County, Alabama",4357,2013,
237,1400000US01045021101,"Census Tract 211.01, Dale County, Alabama",5176,2115,
238,1400000US01045021102,"Census Tract 211.02, Dale County, Alabama",4066,2446,
239,1400000US01045021200,"Census Tract 212, Dale County, Alabama",2454,1196,
240,1400000US01045021300,"Census Tract 213, Dale County, Alabama",4106,1920,
241,1400000US01045021400,"Census Tract 214, Dale County, Alabama",5383,2583,
242,1400000US01047956100,"Census Tract 9561, Dallas County, Alabama",6376,2752,
243,1400000US01047956201,"Census Tract 9562.01, Dallas County, Alabama",2602,1221,
244,1400000US01047956202,"Census Tract 9562.02, Dallas County, Alabama",2041,998,
245,1400000US01047956300,"Census Tract 9563, Dallas County, Alabama",3749,1693,
246,1400000US01047956400,"Census Tract 9564, Dallas County, Alabama",3100,1392,
247,1400000US01047956500,"Census Tract 9565, Dallas County, Alabama",3251,1573,
248,1400000US01047956600,"Census Tract 9566, Dallas County, Alabama",2715,1721,
249,1400000US01047956701,"Census Tract 9567.01, Dallas County, Alabama",1826,853,
250,1400000US01047956702,"Census Tract 9567.02, Dallas County, Alabama",1605,818,
251,1400000US01047956800,"Census Tract 9568, Dallas County, Alabama",2530,1256,
252,1400000US01047956900,"Census Tract 9569, Dallas County, Alabama",2297,1453,
253,1400000US01047957000,"Census Tract 9570, Dallas County, Alabama",1263,849,
254,1400000US01047957100,"Census Tract 9571, Dallas County, Alabama",1443,816,
255,1400000US01047957200,"Census Tract 9572, Dallas County, Alabama",1265,797,
256,1400000US01047957300,"Census Tract 9573, Dallas County, Alabama",3966,2144,
257,1400000US01049960100,"Census Tract 9601, DeKalb County, Alabama",5817,2656,
258,1400000US01049960200,"Census Tract 9602, DeKalb County, Alabama",3096,1577,
259,1400000US01049960300,"Census Tract 9603, DeKalb County, Alabama",7466,3054,
260,1400000US01049960400,"Census Tract 9604, DeKalb County, Alabama",6106,2697,
261,1400000US01049960500,"Census Tract 9605, DeKalb County, Alabama",5465,2384,
262,1400000US01049960600,"Census Tract 9606, DeKalb County, Alabama",5886,2673,
263,1400000US01049960700,"Census Tract 9607, DeKalb County, Alabama",9067,3304,
264,1400000US01049960800,"Census Tract 9608, DeKalb County, Alabama",4938,1894,
265,1400000US01049960900,"Census Tract 9609, DeKalb County, Alabama",3752,1916,
266,1400000US01049961000,"Census Tract 9610, DeKalb County, Alabama",4222,1922,
267,1400000US01049961100,"Census Tract 9611, DeKalb County, Alabama",2971,1316,
268,1400000US01049961200,"Census Tract 9612, DeKalb County, Alabama",2386,945,
269,1400000US01049961300,"Census Tract 9613, DeKalb County, Alabama",6070,2659,
270,1400000US01049961400,"Census Tract 9614, DeKalb County, Alabama",3958,2465,
271,1400000US01051030100,"Census Tract 301, Elmore County, Alabama",9229,2781,
272,1400000US01051030200,"Census Tract 302, Elmore County, Alabama",4416,1942,
273,1400000US01051030300,"Census Tract 303, Elmore County, Alabama",2600,2525,
274,1400000US01051030400,"Census Tract 304, Elmore County, Alabama",7006,3151,
275,1400000US01051030500,"Census Tract 305, Elmore County, Alabama",4678,2070,
276,1400000US01051030600,"Census Tract 306, Elmore County, Alabama",6320,2503,
277,1400000US01051030701,"Census Tract 307.01, Elmore County, Alabama",7442,2637,
278,1400000US01051030702,"Census Tract 307.02, Elmore County, Alabama",4278,1647,
279,1400000US01051030800,"Census Tract 308, Elmore County, Alabama",7081,3483,
280,1400000US01051030901,"Census Tract 309.01, Elmore County, Alabama",6264,2188,
281,1400000US01051030902,"Census Tract 309.02, Elmore County, Alabama",4054,1669,
282,1400000US01051031000,"Census Tract 310, Elmore County, Alabama",7558,3151,
283,1400000US01051031100,"Census Tract 311, Elmore County, Alabama",4102,1627,
284,1400000US01051031200,"Census Tract 312, Elmore County, Alabama",1700,677,
285,1400000US01051031300,"Census Tract 313, Elmore County, Alabama",4484,1953,
286,1400000US01053969800,"Census Tract 9698, Escambia County, Alabama",5671,2786,
287,1400000US01053969900,"Census Tract 9699, Escambia County, Alabama",3813,1813,
288,1400000US01053970100,"Census Tract 9701, Escambia County, Alabama",4427,2183,
289,1400000US01053970200,"Census Tract 9702, Escambia County, Alabama",1849,870,
290,1400000US01053970300,"Census Tract 9703, Escambia County, Alabama",3778,1691,
291,1400000US01053970400,"Census Tract 9704, Escambia County, Alabama",5702,1368,
292,1400000US01053970500,"Census Tract 9705, Escambia County, Alabama",4185,2235,
293,1400000US01053970600,"Census Tract 9706, Escambia County, Alabama",3993,1935,
294,1400000US01053970700,"Census Tract 9707, Escambia County, Alabama",3910,1714,
295,1400000US01055000200,"Census Tract 2, Etowah County, Alabama",3702,1637,
296,1400000US01055000300,"Census Tract 3, Etowah County, Alabama",2633,1356,
297,1400000US01055000400,"Census Tract 4, Etowah County, Alabama",3986,1841,
298,1400000US01055000500,"Census Tract 5, Etowah County, Alabama",1785,946,
299,1400000US01055000600,"Census Tract 6, Etowah County, Alabama",1980,985,
300,1400000US01055000700,"Census Tract 7, Etowah County, Alabama",1156,596,
301,1400000US01055000800,"Census Tract 8, Etowah County, Alabama",1211,582,
302,1400000US01055000900,"Census Tract 9, Etowah County, Alabama",2544,1284,
303,1400000US01055001000,"Census Tract 10, Etowah County, Alabama",1329,706,
304,1400000US01055001100,"Census Tract 11, Etowah County, Alabama",5322,2228,
305,1400000US01055001200,"Census Tract 12, Etowah County, Alabama",2886,1697,
306,1400000US01055001300,"Census Tract 13, Etowah County, Alabama",2807,1227,
307,1400000US01055001600,"Census Tract 16, Etowah County, Alabama",3300,1650,
308,1400000US01055001700,"Census Tract 17, Etowah County, Alabama",1731,967,
309,1400000US01055010100,"Census Tract 101, Etowah County, Alabama",2227,1073,
310,1400000US01055010200,"Census Tract 102, Etowah County, Alabama",5044,2423,
311,1400000US01055010300,"Census Tract 103, Etowah County, Alabama",2620,1319,
312,1400000US01055010401,"Census Tract 104.01, Etowah County, Alabama",3840,1782,
313,1400000US01055010402,"Census Tract 104.02, Etowah County, Alabama",5013,2393,
314,1400000US01055010501,"Census Tract 105.01, Etowah County, Alabama",8409,3634,
315,1400000US01055010502,"Census Tract 105.02, Etowah County, Alabama",5116,2285,
316,1400000US01055010601,"Census Tract 106.01, Etowah County, Alabama",5235,2303,
317,1400000US01055010602,"Census Tract 106.02, Etowah County, Alabama",3391,1766,
318,1400000US01055010700,"Census Tract 107, Etowah County, Alabama",3750,1553,
319,1400000US01055010800,"Census Tract 108, Etowah County, Alabama",2847,1214,
320,1400000US01055010900,"Census Tract 109, Etowah County, Alabama",1682,734,
321,1400000US01055011001,"Census Tract 110.01, Etowah County, Alabama",5044,1988,
322,1400000US01055011002,"Census Tract 110.02, Etowah County, Alabama",4362,1939,
323,1400000US01055011100,"Census Tract 111, Etowah County, Alabama",5646,2193,
324,1400000US01055011200,"Census Tract 112, Etowah County, Alabama",2341,1404,
325,1400000US01057020000,"Census Tract 200, Fayette County, Alabama",1473,736,
326,1400000US01057020100,"Census Tract 201, Fayette County, Alabama",3287,1626,
327,1400000US01057020200,"Census Tract 202, Fayette County, Alabama",4228,2211,
328,1400000US01057020300,"Census Tract 203, Fayette County, Alabama",3853,2209,
329,1400000US01057020400,"Census Tract 204, Fayette County, Alabama",3744,1688,
330,1400000US01059972900,"Census Tract 9729, Franklin County, Alabama",3830,1816,
331,1400000US01059973000,"Census Tract 9730, Franklin County, Alabama",5456,2106,
332,1400000US01059973100,"Census Tract 9731, Franklin County, Alabama",2437,1330,
333,1400000US01059973200,"Census Tract 9732, Franklin County, Alabama",3817,1408,
334,1400000US01059973300,"Census Tract 9733, Franklin County, Alabama",3022,1542,
335,1400000US01059973400,"Census Tract 9734, Franklin County, Alabama",2871,1320,
336,1400000US01059973500,"Census Tract 9735, Franklin County, Alabama",2345,1055,
337,1400000US01059973600,"Census Tract 9736, Franklin County, Alabama",1529,858,
338,1400000US01059973700,"Census Tract 9737, Franklin County, Alabama",6235,2717,
339,1400000US01061050100,"Census Tract 501, Geneva County, Alabama",4676,2419,
340,1400000US01061050200,"Census Tract 502, Geneva County, Alabama",2465,1226,
341,1400000US01061050300,"Census Tract 503, Geneva County, Alabama",5494,2517,
342,1400000US01061050400,"Census Tract 504, Geneva County, Alabama",5528,2756,
343,1400000US01061050500,"Census Tract 505, Geneva County, Alabama",4620,2127,
344,1400000US01061050600,"Census Tract 506, Geneva County, Alabama",3708,1723,
345,1400000US01063060000,"Census Tract 600, Greene County, Alabama",1814,1047,
346,1400000US01063060100,"Census Tract 601, Greene County, Alabama",3594,2217,
347,1400000US01063060200,"Census Tract 602, Greene County, Alabama",3018,1811,
348,1400000US01065040000,"Census Tract 400, Hale County, Alabama",3481,1539,
349,1400000US01065040100,"Census Tract 401, Hale County, Alabama",1448,1028,
350,1400000US01065040200,"Census Tract 402, Hale County, Alabama",1584,816,
351,1400000US01065040300,"Census Tract 403, Hale County, Alabama",2045,1129,
352,1400000US01065040400,"Census Tract 404, Hale County, Alabama",4956,2535,
353,1400000US01065040500,"Census Tract 405, Hale County, Alabama",1373,730,
354,1400000US01067030100,"Census Tract 301, Henry County, Alabama",1601,867,
355,1400000US01067030200,"Census Tract 302, Henry County, Alabama",2912,1518,
356,1400000US01067030300,"Census Tract 303, Henry County, Alabama",2617,2481,
